Species Name,LAI Value
Agrostis capillaris,8.40
Arrhenatherum elatius,7.66
Alopecurus pratensis,7.65
Anthoxanthum odoratum,7.34
Alopecurus geniculatus,7.21
Apera spica-venti,7.04
Clinopodium vulgare,6.93
Acer spicatum,6.91
Cirsium arvense,6.62
Calamagrostis epigejos,6.42
Anthyllis vulneraria,5.52
Digitalis purpurea,5.42
Cirsium acaule,5.31
Aegopodium podagraria,5.04
Arctium lappa,4.72
Aextoxicon punctatum,4.60
Deschampsia cespitosa,4.52
Centaurium erythraea,3.83
Bromus hordeaceus,3.79
Anthoxanthum odoratum,3.72
Amomyrtus meli,3.60
Brachypodium sylvaticum,3.50
Calamagrostis epigejos,3.21
Campanula rotundifolia,2.97
Byrsonima coccolobifolia,2.57
Dalbergia miscolobium,2.52
Byrsonima verbascifolia,2.39
Caryocar brasiliense,2.36
Annona crassiflora,1.57
Dacryodes rostrata,1.06
Canarium denticulatum,1.05
Cleistanthus paxii,0.98
Dacryodes laxa,0.96
Cleistanthus baramicus,0.89
Aporusa lucida,0.86
Canarium pilosum,0.71
Cornus stolonifera,0.23
