Species,LAI Value
Fagus sylvatica,7.9
Fagus sylvatica,8.2
Fagus sylvatica,7.6
Fagus sylvatica,7.8
Fagus sylvatica,7.1
Fagus sylvatica,6.8
Fagus sylvatica,9.1
Fagus sylvatica,7.9
Fagus sylvatica,5.6
Fagus sylvatica,7.8
Fagus sylvatica,7.4
Fagus sylvatica,6.4
Fagus sylvatica,6.5
Fagus sylvatica,6.8
Fagus sylvatica,6.4
Fagus sylvatica,7.7
Fagus sylvatica,9.5
Fagus sylvatica,7.3
Fagus sylvatica,6.5
Fagus sylvatica,6.7
Fagus sylvatica,8.5
Fagus sylvatica,8.6
Fagus sylvatica,6.8
Fagus sylvatica,6
Fagus sylvatica,6.72
Fagus sylvatica,7.9
Fagus sylvatica,7.38
Fagus sylvatica,6.9
Fagus sylvatica,7.12
Fagus sylvatica,6.9
Fagus sylvatica,7.18
Fagus sylvatica,6.18
Fagus sylvatica,7.14
Fagus sylvatica,7.14
Fagus sylvatica,9.2
Fagus sylvatica,7.4
Fagus sylvatica,4.91
Quercus cerris,7.4
Quercus cerris,4.9
Fagus sylvatica,7.4
Eucalyptus cupularis/Eucalyptus fasciculosa,0.65
Eucalyptus fasciculosa,0.44
Eucalyptus obliqua,1.34
Eucalyptus letophylla/Eucalyptus incrassata,0.25
Eucalyptus camaldulensis,1.52
Eucalyptus luecoxylon,0.95
Eucalyptus fasciculosa,0.75
Eucalyptus porosa,0.69
Eucalyptus obliqua,1.23
Eucalyptus viminalis,0.99
Eucalyptus radiata,1.13
Eucalyptus sieberi,1.96
Eucalyptus ovata,1.08
Eucalyptus cypellocarpa,1.95
Eucalyptus obliqua/Eucalyptus cypellocarpa,1.93
Eucalyptus dives,1.8
Eucalyptus fastigata,2.93
Eucalyptus bridgesiana,0.72
Eucalyptus viminalis/Eucalyptus pauciflora,1.34
Eucalyptus stellulata,0.66
Eucalyptus delegatensis,2.11
Eucalyptus pauciflora,0.85
Nothofagus antarctica,2
Nothofagus antarctica,1.21
Nothofagus pumilio,1.72
Nothofagus antarctica,1.61
Nothofagus antarctica,1.82
Nothofagus pumilio,1.94
Nothofagus antarctica,0.91
Nothofagus pumilio,2.24
Nothofagus antarctica,0.75
Nothofagus pumilio,1.94
Nothofagus pumilio,2.21
Nothofagus pumilio,1.19
Nothofagus antarctica,2.6
Nothofagus antarctica,2.22
Nothofagus pumilio,2.02
Nothofagus betuloides,2.58
Nothofagus betuloides/Nothofagus pumilio,3.45
Nothofagus betuloides,3.73
Nothofagus pumilio,2.9
Nothofagus antarctica,2.23
Fagus crenata,4.18
"Quercus ilex, Pinus halepensis",3.9
"Pinus halepensis, Quercus ilex",3.5
"Quercus ilex, Pinus halepensis",3.5
"Pinus nigra, Fagus sylvatica",4.1
Fagus sylvatica,7.6
"Quercus petraea, Quercus robur",6.79
"Quercus petraea, Quercus robur",7.02
"Quercus petraea, Quercus robur",6.61
"Quercus petraea, Quercus robur",5.88
"Quercus petraea, Quercus robur",5.57
"Quercus petraea, Quercus robur",3.81
"Quercus petraea, Quercus robur",5.65
"Quercus petraea, Quercus robur, Fagus sylvatica",7.11
"Quercus petraea, Quercus robur",6.71
