SpeciesName,LAI Value
Abies alba,5.4
Abies amabilis,11.63
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",7.92
Abies balsamea,9.4
Abies balsamea,8.4
Abies balsamea,8.6
Abies balsamea,11.3
Abies balsamea,9.6
Abies balsamea,10.15
Abies balsamea,9.2
Abies balsamea,10.15
Abies balsamea,10.8
Abies balsamea,10.95
Abies balsamea,14.45
Abies balsamea,9.7
Abies balsamea,8.7
Abies balsamea,12.9
Abies balsamea,7.5
Abies balsamea,12.1
Abies balsamea,8.3
Abies balsamea,6.5
Abies balsamea,14
Abies balsamea,12.2
Abies balsamea,8.4
Abies balsamea,11.6
Abies balsamea,15.5
Abies balsamea,15.6
Abies balsamea,6.9
Abies balsamea,10.4
Abies balsamea,5.2
Abies balsamea,12
Abies balsamea,13.1
Abies balsamea,12.4
Abies balsamea,7.8
Abies balsamea,13.1
Abies balsamea,10.2
Abies balsamea,9.2
Abies balsamea,9.86
Abies balsamea,9.45
Abies balsamea,6.17
Abies concolor,8.17
Abies concolor,14.53
Abies concolor,20.75
"Abies concolor, Pseudotsuga menziesii",15.5
Abies fabri,7.78
Abies fabri,10.21
"Abies fabri, Picea brachytyla, Tsuga chinesis, Acer sp., Betula sp.",10.31
"Abies fabri, Populus purdomii",10.17
Abies faxoniana,1.9
Abies firma,6.7
Abies fraseri,12.3
Abies georget,12.41
Abies georget,8.86
Abies georget,10.18
Abies grandis,5.3
"Abies grandis, Thuja plicata, Pseudotsuga menziesii",11.68
"Abies guatemalensis, Pinus",2.42
"Abies guatemalensis, Pinus",2.55
"Abies guatemalensis, Pinus",1.42
"Abies guatemalensis, Pinus, Oak",2.66
"Abies guatemalensis, Pinus, Oak",2.36
"Abies guatemalensis, Pinus, Oak",1.93
Abies homolepis,10.6
Abies homolepis,7.4
Abies lasiocarpa,8.07
Abies lasiocarpa,14.7
Abies magnifica,17.33
Abies magnifica,25.34
"Abies magnifica, Abies concolor",15.58
"Abies magnifica, Abies concolor",16.45
Abies religiosa,4.96
Abies sibirica,4.1
"Abies sibirica, Picea obovata",3.5
"Abies spp./ Picea abies, Fagus sylvatica",9
Abies veitchii,5
"Abies veitchii, Abies mariesii",8.2
"Abies veitchii, Abies mariesii",9.7
"Abies veitchii, Abies mariesii",8.1
"Abies veitchii, Abies mariesii",5.5
"Abies veitchii, Abies mariesii",10.6
"Abies veitchii, Abies mariesii",7.8
"Abies veitchii, Abies mariesii",12.8
"Abies veitchii, Abies mariesii",10.9
"Abies veitchii, Abies mariesii",7.7
Acacia,0.1
Acacia,0.2
Acacia,0.3
Acacia,0.3
Acacia,1
Acacia aneura,2.13
Acacia aneura,1.57
Acacia aneura,1.56
Acacia aneura,1.41
Acacia aneura,1.22
Acacia aneura,1.17
Acacia aneura,0.76
Acacia aneura,0.99
Acacia aneura,0.53
Acacia aneura,0.64
Acacia aneura,0.47
Acacia aneura,0.58
Acacia aneura,0.31
Acacia aneura,0.34
Acacia aneura,0.39
Acacia aneura,0.3
Acacia aneura,0.23
Acacia aneura,0.3
Acacia aneura,0.13
Acacia dealbata,6.5
Acacia koa,1.42
Acacia koa,3.46
Acacia koa,1.7
Acacia koa,2.48
Acacia koa,5.34
Acacia koa,4.06
Acacia koa,2.3
Acacia koa,2.41
Acacia koa,3.74
Acacia koa,1.77
Acacia koa,2.9
Acacia koa,2.22
Acacia koa,2.29
Acacia koa,1.17
"Acacia koa, Fraxinus udhei",1.71
"Acacia koa, Fraxinus udhei",1.33
"Acacia koa, Fraxinus udhei",0.68
"Acacia Koa, Toona ciliata",2.4
"Acacia Koa, Toona ciliata",2.6
"Acacia leuderitzii, Acacia mellifera, Grewia flava",0.71
Acacia mangium,3
Acacia mearnsii,1.35
Acacia melanoxylon,2.5
"Acacia mellifera,Terminalia sericea, Boscia albitrunca",1
Acacia mollissima,9.9
Acer,5.99
"Acer platanoides, Tilia cordata, Qercus robur",3.5
Acer rubrum,5.14
Acer rubrum,6.8
"Acer rubrum, Acer saccharum, Betula papyrifera, Populus grandidentata, Quercus rubra",3.86
"Acer rubrum, Carya spp.",5.2
"Acer rubrum, Cornus florida, Ilex opaca, Liquidambar styraciflua, Liriodendron tulipifera etc.",7.1
"Acer rubrum, Cornus florida, Ilex opaca, Liquidambar styraciflua, Liriodendron tulipifera etc.",5.6
"Acer rubrum, Quercus Prinus ",4.5
"Acer rubrum, Quercus Prinus ",7.2
Acer saccharum,7.4
Acer saccharum,8.1
Acer saccharum,6.87
Acer saccharum,6.12
Acer saccharum,6.77
Acer saccharum,6.97
Acer saccharum,7.63
Acer saccharum,3.25
Acer saccharum,6.1
"Acer saccharum, Acer rubrum, Tsuga canadensis",6.8
"Acer saccharum, Betula alleghaniensis",2.81
"Acer saccharum, Betula alleghaniensis",3.16
"Acer saccharum, Betula alleghaniensis",6.3
"Acer saccharum, Betula lutea, Fagus grandifolia",5.7
"Acer saccharum, Betula papyrifera, Pinus strobus",5.1
"Acer saccharum, Fagus grandifolia",3.58
"Acer saccharum, Fagus grandifolia",3.52
"Acer saccharum, Fagus grandifolia",3.34
"Acer saccharum, Fraxinus americana",3.47
"Acer saccharum, Fraxinus spp., Quercus rubra",8.4
"Acer saccharum, Liriodendron tulipifera, Quercus spp.",4.9
"Acer saccharum, Quercus prinus, Cornus florida",3
"Acer saccharum, Quercus rubra, Betula papyrifera",5.9
"Acer saccharum, Tilia americana",5.5
"Acer saccharum, Tilia americana",7.1
"Acer saccharum, Tilia americana, Fraxinus spp.",5.1
"Acer saccharum, Tilia americana, Populus tremuloides",8
"Acer saccharum, Tsuga canadensis",4.06
Acer spicatum,1.06
Acer spicatum,1.26
Acer spicatum,1.24
Acer spicatum,2.46
Acer spicatum,2.31
Acer spicatum,0.53
Acer spicatum,0.81
Acer spicatum,1.15
Acer spicatum,0.61
Acer spicatum,0.71
Acer spicatum,1.13
Acer spicatum,1.53
Acer spicatum,1.49
Acer spicatum,0.62
Acer spicatum,2.09
Acer spicatum,0.73
Acer spicatum,0.73
Acer spicatum,0.71
Acer spicatum,0.78
Acer spicatum,1.24
Acer spicatum,0.85
Acer spicatum,3.52
Acer spicatum,6.9
Acer spicatum,4.02
Acer spicatum,0.53
Acer spicatum,0.75
Acer spicatum,1.15
Acer spicatum,0.67
Acer spicatum,1.46
Acer spicatum,1.04
Acer spicatum,0.8
Acer spicatum,0.88
Acer spicatum,0.41
Acer spicatum,0.7
Acer spicatum,1.54
Acer spicatum,1
Acer spicatum,0.94
Acer spicatum,0.88
Acer spicatum,1.01
Acer spicatum,0.85
Acer spicatum,0.82
Acer spicatum,0.79
Acer spicatum,0.97
Acer spicatum,1.09
Acer spicatum,0.73
Acer spicatum,2.12
Acer spicatum,1.71
Acer spicatum,0.47
Acer spicatum,0.88
Acer spicatum,0.73
Acer spicatum,0.79
Acer spicatum,1.38
Acer spicatum,0.79
Acer spicatum,0.88
Acer spicatum,0.7
Acer spicatum,1.14
Acer spicatum,1.21
Acer spicatum,1.08
Acer spicatum,0.98
Acer spicatum,0.86
Acer spicatum,1.29
Acer spicatum,1.86
Acer spicatum,1.01
Acer spicatum,1.32
Acer spicatum,1.35
Acer spicatum,2.53
Acer spicatum,3.64
Acer spicatum,2.76
Acer spicatum,0.97
Acer spicatum,1.14
Acer spicatum,1.48
Acer spicatum,1.93
Acer spicatum,1.63
Acer spicatum,1.72
Acer spicatum,0.62
Acer spicatum,0.92
Acer spicatum,0.52
Acer spicatum,0.7
Acer spicatum,0.72
Acer spicatum,0.77
Acer spicatum,1.25
Acer spicatum,2.33
Acer spicatum,2.45
Acer spicatum,1.22
Acer spicatum,1.13
Acer spicatum,1.46
Acer spicatum,1.83
Acer spicatum,2.08
Acer spicatum,1.15
Acer spicatum,2.67
Acer spicatum,0.51
Acer spicatum,0.9
Acer spicatum,1.43
Acer spicatum,4.15
Acer spicatum,0.75
Acer spicatum,1.01
Acer spicatum,0.63
Acer spicatum,2.68
Acer spicatum,0.43
Adenostoma fasciculatum,1.1
"Aegiceras corniculatum, Bruguiera gymnorrhiza, Kandelia obovata, R. stylosa",4.36
Aegopodium podagraria,5.03
Aegopodium podagraria,4.33
Aegopodium podagraria,4.19
Aegopodium podagraria,4.06
Aegopodium podagraria,3.93
Aegopodium podagraria,3.82
Aegopodium podagraria,3.71
Aegopodium podagraria,3.61
Aegopodium podagraria,3.52
Aegopodium podagraria,3.44
Aegopodium podagraria,3.37
Aegopodium podagraria,3.3
Aegopodium podagraria,3.25
Aegopodium podagraria,3.2
Aegopodium podagraria,3.16
Aegopodium podagraria,3.13
Aegopodium podagraria,3.1
Aegopodium podagraria,3.09
Aegopodium podagraria,3.08
Aegopodium podagraria,3.08
Aegopodium podagraria,3.09
Aesculus octandra,6.2
Aextoxicon punctatum,3.5
Aextoxicon punctatum,4.6
Agrostis capillaris,8.39
Agrostis capillaris,3.24
Agrostis capillaris,3.89
Agrostis capillaris,4.48
Agrostis capillaris,5.01
Agrostis capillaris,5.49
Agrostis capillaris,5.9
Agrostis capillaris,6.25
Agrostis capillaris,6.55
Agrostis capillaris,6.78
Agrostis capillaris,6.96
Agrostis capillaris,7.07
Agrostis capillaris,7.13
Agrostis capillaris,7.13
Agrostis capillaris,7.07
Agrostis capillaris,6.94
Agrostis capillaris,6.76
Agrostis capillaris,6.52
"Albizia falcata, various tree species",10
Alder,4.44
Alder,4.26
Alder/Maple,4.02
Alder/Maple,2.26
Alder/Maple,2.3
Alnus glutinosa,8.26
Alnus glutinosa,4.95
Alnus glutinosa,2.07
Alnus glutinosa,6.19
Alnus glutinosa,5.78
Alnus glutinosa,4.8
"Alnus glutinosa, Betulab pendula",3.6
"Alnus glutinosa, Fraxinus exelsior",5.03
Alnus incana,1.83
Alnus incana,1.28
Alnus incana,2.68
Alnus incana,1.28
Alnus incana,3.28
Alnus incana,0.62
Alnus incana,4.65
Alnus incana,2.02
Alnus incana,4.2
Alnus incana,4
Alnus incana,2.01
Alnus incana,5.43
Alnus rubra,3.9
Alnus rubra,6.5
Alnus sp.,3.45
Alnus sp.,3.8
"Alnus sp., Betula pendula",1.74
"Alnus, Betual exilis, Salix alaxensis, Salix pulchra",2.15
"Alnus, Betual exilis, Salix alaxensis, Salix pulchra",1.48
"Alnus, Betual exilis, Salix alaxensis, Salix pulchra",0.77
"Alnus, Betual exilis, Salix alaxensis, Salix pulchra",1.48
"Alnus, Betual exilis, Salix alaxensis, Salix pulchra",0.61
"Alnus, Betual exilis, Salix alaxensis, Salix pulchra",0.71
"Alnus, Betual exilis, Salix alaxensis, Salix pulchra",0.37
