species,mean_lai,median_lai,min_lai,max_lai,measurement_count,sources,datasets,lat_range,tropical_by_lat,tropical_by_keyword,tropical,category
Tsuga heterophylla,31.053,34.0,11.07,47.0,12,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies magnifica,21.335,21.335,17.33,25.34,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies concolor,14.483,14.53,8.17,20.75,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Thujopsis dolabrata,14.267,12.7,12.6,17.5,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Sequoia sempervirens,12.804,13.92,9.5,14.48,10,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pseudotsuga menziesii,12.642,8.54,3.37,34.96,122,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies fraseri,12.3,12.3,12.3,12.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies amabilis,11.63,11.63,11.63,11.63,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus nigra,11.465,11.465,8.2,14.73,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies lasiocarpa,11.385,11.385,8.07,14.7,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus sieberii,11.0,11.0,11.0,11.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Shorea robusta,10.832,11.53,6.0,14.02,12,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Abies georget,10.483,10.18,8.86,12.41,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Swietenia macrophylla,10.4,10.4,10.4,10.4,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Abies balsamea,10.318,10.15,5.2,15.6,74,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus crispula,10.1,10.1,8.1,12.1,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Metasequoia glyptostroboides,9.53,9.53,9.53,9.53,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Tectona grandis,9.326,10.6,0.96,17.4,18,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Cryptomeria japonica,9.258,10.0,2.71,17.2,38,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Picea sitchensis,9.1,9.1,9.1,9.1,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies homolepis,9.0,9.0,7.4,10.6,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Turreanthus africana,9.0,9.0,9.0,9.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Dacryodes klaineana,9.0,9.0,9.0,9.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies fabri,8.995,8.995,7.78,10.21,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Castanopsis cuspidata,8.785,8.53,5.2,12.8,20,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Carpinus betulus,8.73,8.73,8.73,8.73,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus myrsinifolia,8.367,8.1,8.0,9.0,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Tsuga canadensis,8.095,8.095,3.09,13.1,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus echinata,7.8,7.8,7.8,7.8,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Nothofagus truncata,7.4,7.4,7.4,7.4,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Dacryodes excelsa,7.34,7.34,7.34,7.34,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Graffenrieda emarginata,7.19,6.98,6.59,8.08,10,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Nothofagus fusca,7.0,7.0,7.0,7.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus semicarpiforlia,6.81,6.81,6.81,6.81,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,6.732,5.795,4.46,9.77,20,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus radiata,6.717,4.59,1.56,14.0,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies firma,6.7,6.7,6.7,6.7,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Larix leptolepis,6.68,6.68,6.68,6.68,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Liriodendron tulipifera,6.65,7.05,5.1,7.4,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Picea rubens,6.583,8.15,1.73,14.8,18,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Acer saccharum,6.579,6.87,3.25,8.1,18,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Picea stichensis,6.55,6.48,4.79,8.5,12,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies alba,6.5,6.4,5.4,7.8,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus prinus,6.325,6.4,4.3,8.2,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Hopea ferrea,6.3,6.3,6.3,6.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Populus deltoides,6.25,6.25,5.7,6.8,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Aesculus octandra,6.2,6.2,6.2,6.2,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Cinnamomum camphora,6.11,6.11,6.11,6.11,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Picea abies,6.09,5.74,0.48,21.6,254,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Fagus grandifolia,6.058,3.265,2.9,14.8,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Fraxinus oruns,6.05,6.05,6.05,6.05,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Populus balsamifera,6.0,6.0,6.0,6.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus elliotti,5.99,5.99,5.99,5.99,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Acer,5.99,5.99,5.99,5.99,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Acer rubrum,5.97,5.97,5.14,6.8,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Tsuga mertensiana,5.9,5.4,2.8,10.0,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Fagus sylvatica,5.85,6.2,2.28,10.2,298,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus phillyraeoides,5.82,5.82,5.74,5.9,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Elaeagnus umbellata,5.8,5.8,5.8,5.8,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Nothofagus solandri,5.781,5.71,3.0,8.9,20,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Prunus pensylvanica,5.733,5.5,5.4,6.3,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Chamaecyparis obtusa,5.705,5.735,3.8,7.1,56,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Castanea sativa and others,5.536,5.81,2.88,7.45,10,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Liquidambar styraciflua,5.5,5.5,5.5,5.5,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus mongolica,5.5,5.5,5.5,5.5,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus serrata,5.476,5.1,3.1,8.5,34,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus resinosa,5.469,5.75,2.5,10.7,24,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Betula ermanii,5.403,5.46,5.2,5.55,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus,5.367,5.76,4.31,6.03,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Theobroma cacao,5.367,5.7,4.1,6.3,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Alnus glutinosa,5.342,5.365,2.07,8.26,12,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus strobus,5.307,3.2,1.5,17.8,30,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Magnolia obovata,5.3,5.3,5.3,5.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies grandis,5.3,5.3,5.3,5.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Tsuga sieboldii,5.3,5.3,5.3,5.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus petraea and others,5.265,5.265,4.67,5.86,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus acutissima,5.254,5.1,2.9,7.1,26,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Alnus rubra,5.2,5.2,3.9,6.5,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus patraea,5.2,5.2,5.2,5.2,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Fagus crenata,5.059,4.7,3.19,7.84,96,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies veitchii,5.0,5.0,5.0,5.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus petraea,4.992,5.575,1.71,6.5,24,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Cyrilla racemiflora,4.96,4.96,4.96,4.96,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies religiosa,4.96,4.96,4.96,4.96,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Castanea sativa,4.874,5.3,3.29,6.5,10,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Tamarix chinensis,4.85,4.85,4.85,4.85,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus cerris,4.837,4.5,3.8,7.4,14,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Fagus orientalis,4.767,4.8,4.3,5.2,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Micarandra sprucei,4.72,4.72,4.72,4.72,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Fraxinus excelsior,4.69,4.55,3.6,5.4,10,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus densiflora,4.653,4.73,4.08,5.15,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus,4.65,4.65,2.01,7.29,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Metrosideros polymorpha,4.614,5.465,0.61,8.0,24,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Picea glauca,4.58,4.58,2.76,6.4,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus regnans,4.566,4.345,3.11,9.0,28,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Eucalyptus grandis*Eucalyptus urophylla hybrids,4.487,4.29,3.54,5.83,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Podocarpus nubigena,4.45,4.45,4.2,4.7,2,TRY,TRY Database (summary),,False,False,False,Tree
Larix sibirica,4.4,4.4,4.4,4.4,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Betula verrucosa,4.35,4.1,1.7,6.5,16,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Betula maximowixziana,4.307,4.06,3.67,5.19,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Nothofagus pumila,4.3,4.3,4.3,4.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus meullerana,4.3,4.3,3.8,4.8,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Hevea brasiliensis,4.27,4.27,3.2,5.34,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus robur,4.24,4.55,2.0,6.33,24,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus contorta,4.196,2.8,0.01,35.7,178,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus nitens,4.151,4.25,2.24,7.43,22,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Quercus coccifera,4.15,4.15,4.15,4.15,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Cecropia,4.13,4.13,4.13,4.13,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Picea mariana,4.106,3.795,1.13,8.97,112,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus rubra,4.105,4.41,2.7,4.9,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies sibirica,4.1,4.1,4.1,4.1,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
