id,species,common_name,mean_lai,median_lai,min_lai,max_lai,measurement_count,sources,tropical,category,canopy_form,height_mature_m,canopy_radius_mature_m,trunk_height_m,height_typical_m,canopy_radius_typical_m,min_substrate_mm,wikipedia_height_m,size_source
1,Tsuga heterophylla,,31.053,34,11.07,47,12,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
2,Abies magnifica,,21.335,21.335,17.33,25.34,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
3,Abies concolor,,14.483,14.53,8.17,20.75,6,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
4,Thujopsis dolabrata,,14.267,12.7,12.6,17.5,6,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
5,Sequoia sempervirens,,12.804,13.92,9.5,14.48,10,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
6,Pseudotsuga menziesii,,12.642,8.54,3.37,34.96,122,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
7,Abies fraseri,,12.3,12.3,12.3,12.3,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
8,Abies amabilis,,11.63,11.63,11.63,11.63,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
9,Pinus nigra,,11.465,11.465,8.2,14.73,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
10,Abies lasiocarpa,,11.385,11.385,8.07,14.7,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
11,Eucalyptus sieberii,,11,11,11,11,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
12,Shorea robusta,,10.832,11.53,6,14.02,12,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
13,Abies georget,,10.483,10.18,8.86,12.41,6,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
14,Swietenia macrophylla,,10.4,10.4,10.4,10.4,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
15,Abies balsamea,,10.318,10.15,5.2,15.6,74,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
16,Quercus crispula,,10.1,10.1,8.1,12.1,4,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
17,Metasequoia glyptostroboides,,9.53,9.53,9.53,9.53,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
18,Tectona grandis,,9.326,10.6,0.96,17.4,18,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
19,Cryptomeria japonica,,9.258,10,2.71,17.2,38,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
20,Picea sitchensis,,9.1,9.1,9.1,9.1,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
21,Abies homolepis,,9,9,7.4,10.6,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
22,Turreanthus africana,,9,9,9,9,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
23,Dacryodes klaineana,,9,9,9,9,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
24,Abies fabri,,8.995,8.995,7.78,10.21,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
25,Castanopsis cuspidata,,8.785,8.53,5.2,12.8,20,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
26,Carpinus betulus,,8.73,8.73,8.73,8.73,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
27,Quercus myrsinifolia,,8.367,8.1,8,9,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
28,Tsuga canadensis,,8.095,8.095,3.09,13.1,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
29,Pinus echinata,,7.8,7.8,7.8,7.8,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
30,Nothofagus truncata,,7.4,7.4,7.4,7.4,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
31,Dacryodes excelsa,,7.34,7.34,7.34,7.34,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
32,Graffenrieda emarginata,,7.19,6.98,6.59,8.08,10,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
33,Nothofagus fusca,,7,7,7,7,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
34,Quercus semicarpiforlia,,6.81,6.81,6.81,6.81,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
35,Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,,6.732,5.795,4.46,9.77,20,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
36,Pinus radiata,,6.717,4.59,1.56,14,6,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
37,Abies firma,,6.7,6.7,6.7,6.7,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
38,Larix leptolepis,,6.68,6.68,6.68,6.68,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
39,Liriodendron tulipifera,,6.65,7.05,5.1,7.4,8,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
40,Picea rubens,,6.583,8.15,1.73,14.8,18,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
41,Acer saccharum,,6.579,6.87,3.25,8.1,18,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
42,Picea stichensis,,6.55,6.48,4.79,8.5,12,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
43,Abies alba,,6.5,6.4,5.4,7.8,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
44,Quercus prinus,,6.325,6.4,4.3,8.2,8,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
45,Hopea ferrea,,6.3,6.3,6.3,6.3,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
46,Populus deltoides,,6.25,6.25,5.7,6.8,4,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
47,Aesculus octandra,,6.2,6.2,6.2,6.2,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
48,Cinnamomum camphora,,6.11,6.11,6.11,6.11,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
49,Picea abies,,6.09,5.74,0.48,21.6,254,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
50,Fagus grandifolia,,6.058,3.265,2.9,14.8,8,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
51,Fraxinus oruns,,6.05,6.05,6.05,6.05,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
52,Populus balsamifera,,6,6,6,6,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
53,Pinus elliotti,,5.99,5.99,5.99,5.99,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
54,Acer,,5.99,5.99,5.99,5.99,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
