id,species,common_name,category,mean_lai,lai_min,lai_max,measurement_count,pft,canopy_form,climate,deciduous,tier,tier_source,sources,notes
100000,Terminalia engleri,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Combretaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
100001,Terminalia sepicana,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Combretaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
100002,Terminalia brownii,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Combretaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
100003,Terminalia avicennioides,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Combretaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
100004,Terminalia capitulata,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Combretaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
100005,Terminalia randii,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Combretaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
100006,Terminalia mollis,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Combretaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
100007,Terminalia reticulata,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: . PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
100008,Terminalia altissima,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: . PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
100009,Terminalia darfeuillana,,Tree,3.2,1.5,5.5,0,TrBD,spreading,tropical,FALSE,4,PFT_Mean_GBIF,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Combretaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Terminalia GBIF accepted species. PFT: TrBD. Urban LAI may differ from natural conditions.
