id,species,common_name,category,mean_lai,lai_min,lai_max,measurement_count,pft,canopy_form,climate,deciduous,tier,tier_source,sources,notes
1,Terminalia catappa,Sea Almond,Tree,3.8,2.8,4.8,1,TrBD,spreading,tropical,TRUE,1,Direct_Urban_Field,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification
2,Ficus benjamina,Weeping Fig,Tree,4.2,3.2,5.2,1,TrBE,round,tropical,FALSE,1,Direct_Urban_Field,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification
3,Samanea saman,Rain Tree,Tree,3.6,2.6,4.6,1,TrBE,spreading,tropical,FALSE,1,Direct_Urban_Field,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification
4,Pterocarpus indicus,Angsana,Tree,4.5,3.5,5.5,1,TrBD,spreading,tropical,TRUE,1,Direct_Urban_Field,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification
5,Swietenia mahagoni,Mahogany,Tree,3.1,2.1,4.1,1,TrBE,round,tropical,FALSE,1,Direct_Urban_Field,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification
6,Agrostis capillaris,Common Bentgrass,Grass,8.4,8.4,8.4,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
7,Arrhenatherum elatius,False Oat-grass,Grass,7.66,7.66,7.66,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
8,Alopecurus pratensis,Meadow Foxtail,Grass,7.65,7.65,7.65,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
9,Anthoxanthum odoratum,Sweet Vernal Grass,Grass,5.53,3.72,7.34,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
10,Alopecurus geniculatus,Floating Foxtail,Grass,7.21,7.21,7.21,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
11,Apera spica-venti,Loose Silky-bent,Grass,7.04,7.04,7.04,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
12,Clinopodium vulgare,Wild Basil,Groundcover,6.93,6.93,6.93,1,TeGC,hemisphere,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
