LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031930	926	Leaf area index (LAI) of a single plant	384	LAI of respective plant	LAI	1.32533139399815	unitless										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Leaf area index:  leaf area/canopy area (m2 per m2)		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031932			386	Canopy openness (fraction of open sky)	C O	5.65625	%										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Canopy openness measured using hemisphere photos		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031951			393	Herbivory damage	Herbivory	11.52	%										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Herbivory damage Proportion of leaf eaten		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031954			324	Treatment CO2	growth ambient CO2 concentration	400	ppm		50	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031955			325	Treatment relative humidity (Relative humidity )	growth RH	75	%		5	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031956			315	Treatment plant growth temperature during day	growth temperature	31	C		3	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031957			340	Photosynthetically Active Radiation during measurement (PAR)	measurement light	1000	m,icromol/m2/s										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031958			323	Atmospheric CO2 concentration during measurement (Ca)	measurement CO2 conentration	400	ppm		50	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031959			326	Relative air humidity during measurement (Relative humidity, RH )	measurement RH	75	%		5	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031960			322	Temperature during measurement	measurement temperature	31	C		3	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031961			112	Location Site ID	Location	Sepilok Forest Reserve, Malaysian Borneo											Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.		Sepilok Forest Reserve, Malaysian Borneo	
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031962			59	Latitude	Lat	5.16	degree					5.16					Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
