GBIF Enrichment started: 2026-05-30 19:30:56.677003
Total to process: 34,429 | Resume: True

[19:58:58] 500/34,429 (1.5%) matched 151
[20:51:56] 1,000/34,429 (2.9%) matched 620
[21:45:18] 1,500/34,429 (4.4%) matched 1,092
[22:37:44] 2,000/34,429 (5.8%) matched 1,543
[23:36:26] 2,500/34,429 (7.3%) matched 2,018
[00:34:04] 3,000/34,429 (8.7%) matched 2,494
[01:29:19] 3,500/34,429 (10.2%) matched 2,978
[02:32:38] 4,000/34,429 (11.6%) matched 3,472
[03:35:24] 4,500/34,429 (13.1%) matched 3,943
[04:37:10] 5,000/34,429 (14.5%) matched 4,401
[05:39:08] 5,500/34,429 (16.0%) matched 4,879
[06:42:14] 6,000/34,429 (17.4%) matched 5,358
