id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,data_type,generation_method
1,Agrostis capillaris,,,,,Common Bentgrass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",8.4,8.4,8.4,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
2,Alopecurus geniculatus,,,,,Floating Foxtail,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.21,7.21,7.21,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
3,Alopecurus pratensis,,,,,Meadow Foxtail,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.65,7.65,7.65,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
4,Anthoxanthum odoratum,,,,,Sweet Vernal Grass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",5.53,3.72,7.34,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
5,Apera spica-venti,,,,,Loose Silky-bent,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.04,7.04,7.04,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
6,Arrhenatherum elatius,,,,,False Oat-grass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.66,7.66,7.66,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
7,Brachypodium sylvaticum,,,,,False Brome,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.5,3.5,3.5,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
8,Bromus hordeaceus,,,,,Soft Brome,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.79,3.79,3.79,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
9,Calamagrostis epigejos,,,,,Wood Small-reed,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",4.82,3.21,6.42,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
10,Deschampsia cespitosa,,,,,Tufted Hair-grass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",4.52,4.52,4.52,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
11,Aegopodium podagraria,,,,,Ground Elder,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.04,5.04,5.04,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
12,Anthyllis vulneraria,,,,,Kidney Vetch,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.52,5.52,5.52,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
13,Arctium lappa,,,,,Greater Burdock,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",4.72,4.72,4.72,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
14,Campanula rotundifolia,,,,,Harebell,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.97,2.97,2.97,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
15,Centaurium erythraea,,,,,Common Centaury,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.83,3.83,3.83,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
16,Cirsium acaule,,,,,Stemless Thistle,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.31,5.31,5.31,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.2.0,measured,
