id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,ai_assisted,ai_model
1,Agrostis capillaris,,2706490,,,Common Bentgrass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",8.4,8.4,8.4,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
2,Alopecurus geniculatus,,5290090,,,Floating Foxtail,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.21,7.21,7.21,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
3,Alopecurus pratensis,,5290081,,,Meadow Foxtail,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.65,7.65,7.65,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
4,Anthoxanthum odoratum,,2705975,,,Sweet Vernal Grass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",5.53,3.72,7.34,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
5,Apera spica-venti,,5289642,,,Loose Silky-bent,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.04,7.04,7.04,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
6,Arrhenatherum elatius,,2704505,,,False Oat-grass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.66,7.66,7.66,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
7,Brachypodium sylvaticum,,5290146,,,False Brome,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.5,3.5,3.5,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
8,Bromus hordeaceus,,2703777,,,Soft Brome,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.79,3.79,3.79,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
9,Calamagrostis epigejos,,6431455,,,Wood Small-reed,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",4.82,3.21,6.42,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
10,Deschampsia cespitosa,,8059811,,,Tufted Hair-grass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",4.52,4.52,4.52,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
11,Aegopodium podagraria,,3034620,,,Ground Elder,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.04,5.04,5.04,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
12,Anthyllis vulneraria,,5352367,,,Kidney Vetch,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.52,5.52,5.52,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
13,Arctium lappa,,7353729,,,Greater Burdock,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",4.72,4.72,4.72,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
14,Campanula rotundifolia,,5410907,,,Harebell,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.97,2.97,2.97,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
15,Centaurium erythraea,,5414457,,,Common Centaury,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.83,3.83,3.83,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
16,Cirsium acaule,,3112799,,,Stemless Thistle,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.31,5.31,5.31,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
17,Cirsium arvense,,3113414,,,Creeping Thistle,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",6.62,6.62,6.62,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
18,Clinopodium vulgare,,2926945,,,Wild Basil,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",6.93,6.93,6.93,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
19,Digitalis purpurea,,5414995,,,Foxglove,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.42,5.42,5.42,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
20,Cornus stolonifera,,6427418,,,Red-osier Dogwood,shrub,Shrub,deciduous,,"Cfb,Dfb,Dfc",0.23,0.23,0.23,,1,PFT-inferred,inferred,,TeDS,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
21,Acer spicatum,,3189848,,,Mountain Maple,tree,Tree,deciduous,,"Cfb,Dfb,Dfc",6.91,6.91,6.91,,1,PFT-inferred,inferred,,TeBD,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
22,Aextoxicon punctatum,,4195638,,,Olivillo,tree,Tree,evergreen,,"Cfb,Dfb,Dfc",4.6,4.6,4.6,,1,PFT-inferred,inferred,,TeBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
23,Amomyrtus meli,,3186054,,,Meli,tree,Tree,evergreen,,"Cfb,Dfb,Dfc",3.6,3.6,3.6,,1,PFT-inferred,inferred,,TeBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
24,Annona crassiflora,,5407096,,,Marolo,tree,Tree,drought-deciduous,,"Af,Am,Aw",1.57,1.57,1.57,,1,PFT-inferred,inferred,,TrBD,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
