id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,ai_assisted,ai_model
1,Agrostis capillaris,,,,,Common Bentgrass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",8.4,8.4,8.4,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
2,Alopecurus geniculatus,,,,,Floating Foxtail,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.21,7.21,7.21,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
3,Alopecurus pratensis,,,,,Meadow Foxtail,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.65,7.65,7.65,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
4,Anthoxanthum odoratum,,,,,Sweet Vernal Grass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",5.53,3.72,7.34,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
5,Apera spica-venti,,,,,Loose Silky-bent,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.04,7.04,7.04,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
6,Arrhenatherum elatius,,,,,False Oat-grass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",7.66,7.66,7.66,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
7,Brachypodium sylvaticum,,,,,False Brome,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.5,3.5,3.5,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
8,Bromus hordeaceus,,,,,Soft Brome,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.79,3.79,3.79,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
9,Calamagrostis epigejos,,,,,Wood Small-reed,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",4.82,3.21,6.42,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
10,Deschampsia cespitosa,,,,,Tufted Hair-grass,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",4.52,4.52,4.52,,1,PFT-inferred,inferred,,TeGr,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
11,Aegopodium podagraria,,,,,Ground Elder,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.04,5.04,5.04,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
12,Anthyllis vulneraria,,,,,Kidney Vetch,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.52,5.52,5.52,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
13,Arctium lappa,,,,,Greater Burdock,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",4.72,4.72,4.72,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
14,Campanula rotundifolia,,,,,Harebell,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.97,2.97,2.97,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
15,Centaurium erythraea,,,,,Common Centaury,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.83,3.83,3.83,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
16,Cirsium acaule,,,,,Stemless Thistle,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.31,5.31,5.31,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
17,Cirsium arvense,,,,,Creeping Thistle,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",6.62,6.62,6.62,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
18,Clinopodium vulgare,,,,,Wild Basil,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",6.93,6.93,6.93,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
19,Digitalis purpurea,,,,,Foxglove,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.42,5.42,5.42,,1,PFT-inferred,inferred,,TeGC,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
20,Cornus stolonifera,,,,,Red-osier Dogwood,shrub,Shrub,deciduous,,"Cfb,Dfb,Dfc",0.23,0.23,0.23,,1,PFT-inferred,inferred,,TeDS,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
21,Acer spicatum,,,,,Mountain Maple,tree,Tree,deciduous,,"Cfb,Dfb,Dfc",6.91,6.91,6.91,,1,PFT-inferred,inferred,,TeBD,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
22,Aextoxicon punctatum,,,,,Olivillo,tree,Tree,evergreen,,"Cfb,Dfb,Dfc",4.6,4.6,4.6,,1,PFT-inferred,inferred,,TeBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
23,Amomyrtus meli,,,,,Meli,tree,Tree,evergreen,,"Cfb,Dfb,Dfc",3.6,3.6,3.6,,1,PFT-inferred,inferred,,TeBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
24,Annona crassiflora,,,,,Marolo,tree,Tree,drought-deciduous,,"Af,Am,Aw",1.57,1.57,1.57,,1,PFT-inferred,inferred,,TrBD,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
25,Aporusa lucida,,,,,Aporusa,tree,Tree,evergreen,,"Af,Am,Aw",0.86,0.86,0.86,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
26,Byrsonima coccolobifolia,,,,,Murici,tree,Tree,evergreen,,"Af,Am,Aw",2.57,2.57,2.57,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
27,Byrsonima verbascifolia,,,,,Maria Preta,tree,Tree,evergreen,,"Af,Am,Aw",2.39,2.39,2.39,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
